Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
COSO,COASTALSOUTH BANCSHARES,OTCQX U.S.,14.000000,0.000000,0,Common Stock,USA,South Carolina
TDGMW,TIDEWATER INC 11/14/42 WT,OTCQX U.S.,25.310000,210.291800,0,Warrants,USA,Texas
VNRR,VANGUARD NATURAL RES INC,OTCQX U.S.,0.375000,598.012700,389708,Common Stock,USA,Texas
VNRRW,VANGUARD NAT RES PFD WT,OTCQX U.S.,0.030100,83.957200,52,Warrants,USA,Texas
VNRWW,VANGUARD NAT RES WT,OTCQX U.S.,0.690000,267.828600,2315,Warrants,USA,Texas
CABF,CAB FINL CORP,OTCQX U.S.,16.830000,98.943100,4000,Common Stock,USA,South Carolina
SVBT,SVB&T CORP,OTCQX U.S.,80.000000,261.988500,50,Common Stock,USA,Indiana
ETCG,GRAYSCALE ETHRM CLSSIC TR,OTCQX U.S.,7.180000,122.402900,40149,Common Stock,USA,New York
BSFO,BANK OF SAN FRANCISCO,OTCQX U.S.,23.250000,11.192000,0,Common Stock,USA,California
WRIV,WHITE RIVER BANCSHARES CO,OTCQX U.S.,75.750000,0.000000,0,Common Stock,USA,Arkansas
FNBT,FINEMARK HOLDINGS INC,OTCQX U.S.,29.500000,247.206400,5266,Common Stock,USA,Florida
HRST,HARVEST OIL & GAS CORP,OTCQX U.S.,16.780000,118.513200,3364,Common Stock,USA,Texas
HRSTW,HARVEST OIL & GAS WTS 23,OTCQX U.S.,1.460000,33.615800,1582,Warrants,USA,Texas
OSBK,OCONEE FINL CORP,OTCQX U.S.,32.550000,900.000000,4050,Common Stock,USA,Georgia
FSUGY,FORTESCUE METAL GRP S/ADR,OTCQX International Premier,10.130000,63.357800,16324,ADRs,Australia,Western Australia
FSUMF,FORTESCUE METAL GROUP LTD,OTCQX International Premier,5.060000,55.762100,2974,Foreign Ordinary Shares,Australia,Western Australia
SOLVY,SOLVAY SA SPNS/ADR,OTCQX International Premier,10.990000,64.454400,323,ADRs,Belgium,
SVYSF,SOLVAY SA ACT,OTCQX International Premier,116.150000,43.297900,7,Foreign Ordinary Shares,Belgium,
LZRFY,LOCALIZA RENT A CAR S/ADR,OTCQX International Premier,8.360000,40.361500,5578,ADRs,Brazil,
JBSAY,JBS S A S/ADR,OTCQX International Premier,8.190000,139.118500,359389,ADRs,Brazil,
KROTY,KROTON EDUCACIONAL S/ADR,OTCQX International Premier,2.650000,18.077700,6896,ADRs,Brazil,
BDRAF,BOMBARDIER INC A,OTCQX International Premier,1.951300,61.746100,34607,Foreign Ordinary Shares,Canada,Quebec
BDRBF,BOMBARDIER INC B,OTCQX International Premier,1.934100,58.856000,465980,Foreign Ordinary Shares,Canada,Quebec
TFIFF,TFI INTERNATIONAL INC ORD,OTCQX International Premier,29.680000,4.751900,0,Foreign Ordinary Shares,Canada,Quebec
ACDVF,AIR CANADA INC VTG & VAR,OTCQX International Premier,24.106100,67.038600,23088,Foreign Ordinary Shares,Canada,Quebec
ARESF,ARTIS RL EST I/T TR UT,OTCQX International Premier,8.275500,25.325100,575,Fund,Canada,Manitoba
IVPAF,IVANHOE MINES LTD A,OTCQX International Premier,2.400000,57.616400,53367,Foreign Ordinary Shares,Canada,British Columbia
YZCAY,YANZHOU COAL MNG CO S/ADR,OTCQX International Premier,9.990000,309.872500,1423,ADRs,China,
CIBEY,COMML INTL BK S/ADR,OTCQX International Premier,3.920000,61.680500,30829,ADRs,Egypt,
CMGGF,COMML INTL BK LTD S/GDR,OTCQX International Premier,3.950000,0.184900,0,New York Registry Shs,Egypt,
UPMKY,UPM-KYMMENE CORP ADR,OTCQX International Premier,29.160000,59.500900,7958,ADRs,Finland,
MXCYY,METSO CORP S/ADR,OTCQX International Premier,8.600000,48.101400,243,ADRs,Finland,
DANOY,DANONE S/ADR,OTCQX International Premier,15.390000,60.166500,217116,ADRs,France,
GPDNF,GROUPE DANONE,OTCQX International Premier,76.100000,265.079900,189,Foreign Ordinary Shares,France,
AXAHF,AXA SA ORD,OTCQX International Premier,25.000000,24.787900,725,Foreign Ordinary Shares,France,
AXAHY,AXA S/ADR,OTCQX International Premier,25.160000,51.003700,63064,ADRs,France,
BNPQF,BNP PARIBAS ORD,OTCQX International Premier,47.690000,44.590900,960,Foreign Ordinary Shares,France,
BNPQY,BNP PARIBAS SPONS ADR,OTCQX International Premier,23.790000,153.199300,320023,ADRs,France,
PGPEF,PUBLICIS GROUPE ACT,OTCQX International Premier,53.707820,27.001700,0,Foreign Ordinary Shares,France,
